"investigationsid","investigation","category","investigationtype","levels","labdescription"
"019d8bc3-60de-7301-ad63-3b159d254fe4","CT Scan - 2 Region with No Contrast","Radiology","Imaging","{D,SM}","CT imaging covering two adjacent anatomical regions without contrast for trauma or comprehensive evaluation."
"019d8bc3-60de-730e-a3cc-40ba845ba8ff","CT Scan - 2 Region + 1 Contrast","Radiology","Imaging","{D,SM}","CT of two regions with intravenous contrast for detailed vascular and lesion assessment."
"019d8bc3-60de-731b-bbe2-245133ae5fa5","CT Scan - 2 region + 2 contrast","Radiology","Imaging","{D,SM}","Comprehensive CT of two regions with both IV and oral contrast for maximum diagnostic yield."
"019d8bc3-60de-7326-b465-63a1a54c9929","Digoxin Level","Therapeutic Drug Monitoring","Lab","{D,SM}","Measures digoxin concentration in blood to monitor therapeutic levels and prevent toxicity."
"019d8bc3-60de-7330-882c-560a65a5c7db","Dihydroxy Epiandesterone Sulphate (DHEA-S)","Biochemistry","Lab","{D,SM}","Measures adrenal androgen levels for diagnosis of adrenal tumors, PCOS, and congenital adrenal hyperplasia."
"019d8bc3-60de-7338-9498-95be6cbcce62","Doppler Scan","Radiology","Imaging","{D,SM}","Ultrasound assessment of blood flow velocity and direction in vessels for vascular disease diagnosis."
"019d8bc3-60de-7347-bb73-57584b2141e4","EEG (Electroencephalogram)","Neurology","Procedure","{D,SM}","Records electrical activity of the brain for diagnosis of epilepsy, seizures, and encephalopathy."
"019d8bc3-60de-735a-af0e-4d7dbb62710e","Estrogen","Biochemistry","Lab","{D,SM}","Measures estradiol levels for fertility assessment, menopause evaluation, and hormone therapy monitoring."
"019d8bc3-60de-7362-94ce-ba8ebd2fd7be","Factor IX","Haematology","Lab","{D,SM}","Quantifies Factor IX clotting factor levels for diagnosis and monitoring of hemophilia B."
"019d8bc3-60de-736f-89cf-5eee7196c97c","Factor VIII","Haematology","Lab","{D,SM}","Quantifies Factor VIII clotting factor levels for diagnosis and monitoring of hemophilia A."
"019d8bc3-60de-737b-bce5-ed9d42abdaf4","Follicle Stimulating Hormone (FSH)","Biochemistry","Lab","{D,SM}","Measures FSH levels for infertility assessment, menopause evaluation, and pituitary function."
"019d8bc3-60de-7385-9aaa-ace9ef1bf3e8","FT3","Biochemistry","Lab","{D,SM}","Free Triiodothyronine - measures active thyroid hormone for thyroid function assessment."
"019d8bc3-60de-7390-9d4a-32e7f36f1b54","FT4","Biochemistry","Lab","{D,SM}","Free Thyroxine - measures active thyroid hormone for thyroid function assessment."
"019d8bc3-60de-739a-bd72-ee6e58b1747c","Guthrie test","Newborn Screening","Lab","{D,SM}","Newborn blood spot screening for phenylketonuria, hypothyroidism, and other metabolic disorders."
"019d8bc3-60de-73a5-90c9-7a706f233049","Holter","Cardiology","Procedure","{D,SM}","24-48 hour continuous ECG monitoring for detection of intermittent arrhythmias and cardiac events."
"019d8bc3-60de-73b2-8095-7500a6f55d9b","Human Immunodeficiency Virus (HIV) Confirmation","Microbiology","Lab","{D,SM}","Confirmatory test (Western blot or PCR) for HIV infection after positive screening test."
"019d8bc3-60de-73bd-9d54-d272facef857","Immunostaining","Immunology","Lab","{D,SM}","Immunohistochemistry or immunofluorescence for detection of specific antigens in tissue sections."
"019d8bc3-60de-73c9-b9c0-2642185b6910","Intravenous Urography","Radiology","Imaging","{D,SM}","Contrast study of kidneys, ureters, and bladder (IVU/IVP) for urinary tract assessment."
"019d8bc3-60de-73d5-a1ef-579311104b7e","Luteinizing Hormone (LH)","Biochemistry","Lab","{D,SM}","Measures LH levels for fertility assessment, ovulation timing, and pituitary function evaluation."
"019d8bc3-60de-73df-8b60-2b42579bdf47","Mammogram","Radiology","Imaging","{D,SM}","Low-dose X-ray of breast tissue for breast cancer screening and diagnostic evaluation."
"019d8bc3-60de-73ed-a78d-9f7623ee1daa","MRI - 1 Region + No Contrast","Radiology","Imaging","{D,SM}","Magnetic resonance imaging of one region without contrast for detailed soft tissue evaluation."
"019d8bc3-60de-73fa-b648-c1a617e6f7de","MRI - 1 Region + Contrast","Radiology","Imaging","{D,SM}","MRI with gadolinium contrast for enhanced visualization of tumors, inflammation, and vascular lesions."
"019d8bc3-60de-7405-a965-840491bd2778","MRI 2 region with no contrast","Radiology","Imaging","{D,SM}","MRI covering two adjacent regions without contrast for comprehensive evaluation."
"019d8bc3-60de-7410-973a-55fcf2b868dc","MRI 2 region with contrast","Radiology","Imaging","{D,SM}","MRI of two regions with contrast for maximum diagnostic information."
"019d8bc3-60de-741f-92fa-9341936b3589","Myelogram - 1 Region","Radiology","Imaging","{D,SM}","Contrast study of spinal canal for evaluation of spinal cord and nerve root compression."
"019d8bc3-60de-742a-b752-f4f6d7620b20","Myocardial perfusion imaging","Nuclear Medicine","Imaging","{D,SM}","Nuclear stress test assessing blood flow to heart muscle for coronary artery disease diagnosis."
"019d8bc3-60de-7434-9d57-fe47ad52e631","Percutaneous Biopsy - CT Scan Guide","Radiology","Procedure","{D,SM}","CT-guided needle biopsy for precise sampling of deep lesions, tumors, or masses."
"019d8bc3-60de-7470-b23b-2d2929cef6af","Progesterone (Prog)","Biochemistry","Lab","{D,SM}","Measures progesterone levels for fertility assessment, ovulation confirmation, and pregnancy monitoring."
"019d8bc3-60de-747c-8461-1ade7172cb6a","Prostate Specific Antigen (PSA)","Biochemistry","Lab","{D,SM}","Tumor marker for prostate cancer screening, diagnosis, and monitoring of treatment response."
"019d8bc3-60de-748a-96f0-97ae19337c70","Serum Adrenocorticotropic Hormone (ACTH)","Biochemistry","Lab","{D,SM}","Measures ACTH levels for differential diagnosis of Cushing syndrome and adrenal insufficiency."
"019d8bc3-60de-7495-9eee-5ea02e55cd8e","Serum Beta-Human Chorionic Gonadotropin (HCG)","Biochemistry","Lab","{D,SM}","Quantitative hCG for pregnancy confirmation, gestational age estimation, and trophoblastic tumor monitoring."
"019d8bc3-60de-74a1-b045-a4134393cb64","Serum Ferritin","Biochemistry","Lab","{D,SM}","Measures iron storage protein for diagnosis of iron deficiency anemia and hemochromatosis."
"019d8bc3-60de-74b4-835d-c36561501889","Serum Iron (Fe)","Biochemistry","Lab","{D,SM}","Measures serum iron levels for iron deficiency, overload, and anemia evaluation."
"019d8bc3-60de-74c3-85b0-a5b720402c08","Serum Lactate Dehydrogenase (LDH)","Biochemistry","Lab","{D,SM}","Non-specific marker for cell injury, elevated in hemolysis, malignancy, and tissue damage."
"019d8bc3-60de-74cd-b4f0-0a0ec873c8ab","Serum Prolactin (PRL)","Biochemistry","Lab","{D,SM}","Measures prolactin levels for diagnosis of hyperprolactinemia, pituitary tumors, and infertility."
"019d8bc3-60de-74d9-ab21-6b3d7dd9010e","Serum vitamin B12 and folate levels","Biochemistry","Lab","{D,SM}","Measures B12 and folate for diagnosis of megaloblastic anemia and nutritional deficiencies."
"019d8bc3-60de-74e7-8b0b-c0fb5e094db2","Testosterone","Biochemistry","Lab","{D,SM}","Measures testosterone levels for hypogonadism, infertility, and endocrine disorder diagnosis."
"019d8bc3-60de-74f1-828a-1d087c4d078e","Thyroid Function Test (TSH)","Biochemistry","Lab","{D,SM}","Thyroid Stimulating Hormone - primary screening test for thyroid disorders."
"019d8bc3-60de-74f8-a288-42b75ad853be","Thyroid Profile","Biochemistry","Lab","{D,SM}","Comprehensive thyroid panel including TSH, FT3, FT4, and sometimes antibodies for full thyroid assessment."
"019d8bc3-60de-7506-8212-768f1df3d2da","T3","Biochemistry","Lab","{D,SM}","Total or free Triiodothyronine for thyroid function assessment, especially in T3 thyrotoxicosis."
"019d8bc3-60de-7513-80a1-7d82cee7315b","T4","Biochemistry","Lab","{D,SM}","Total or free Thyroxine for thyroid function assessment in hypothyroidism and hyperthyroidism."
"019d8bc3-60de-751f-9904-f9c24b81d4fe","Venogram - 1 Region","Radiology","Imaging","{D,SM}","Contrast study of veins in one region for diagnosis of deep vein thrombosis and venous insufficiency."
"019d8bc3-60de-752a-8b55-ffadccc585b1","Viral serology","Microbiology","Lab","{D,SM}","Detection of antibodies against specific viruses (HIV, hepatitis, EBV, CMV) for diagnosis of viral infections."
